id,category,reviewTag*,title,desc,linkToRepository,linkToOpenedIssue,fixed (y/n/m),fixingCommit,cd-linter-bug,comment-labels,fix-labels,"notes (e.g., how they fix it,)",reaction,lastChecked,state,isAssigned,numUpvotes,numDownvotes,numComments,label*,monitoringTag*,monitoringComment,contributors,contributorsSinceIssue,commitsSinceIssue,fixingCommit-message,resolution-time
elad-noor__equilibrator-api__Versioning__gitlabyaml__wheel__missing,Versioning,missing,GitLab config: '.gitlab-ci.yml' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/elad.noor/equilibrator-api,https://gitlab.com/elad.noor/equilibrator-api/issues/48,,,,,,,,200205-180843,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
jamietanna__jvt-me__Job-Allow-Failure__test_links,Job-Allow-Failure,NULL,GitLab config: Failures in job 'test_links' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/jamietanna/jvt.me,https://gitlab.com/jamietanna/jvt.me/issues/664,y,0e056c88f632bfd5f186b9d0272f7033eec03795,,let-it-run,,"they agree with the general problem and they remove when refactoring the jobs. Now no more allow failures in the jobs, so they learned.",not-now,200205-180901,closed,FALSE,0,1,1,NULL,NULL,NULL,2,2,2173,"Convert pipeline to full Docker multi-stage build

To speed up the deployment of the site, we can replace the individual
build jobs to replace it with a single stage that only pushes the built
branch if the tests pass.

This means we can get rid of the `Dockerfile.test` and the test stage,
as it's now occurring within the build phase.

We can also remove the `Dockerfile.deploy` as all we need is our gem
dependencies and `git` and `ssh`, remembering to check out our Git repo,
as we had previously removed set `GIT_STRATEGY: none` so we could bundle
the deployment configuration into the deploy image.

We need to make sure that we copy all the right files in for testing, as
we don't need everything in it, even though it increases the work we
have to do to copy all the right bits in.

Unfortunately the `theme_branch` Rake task doesn't translate to the new
build model, as it needs access to `.git` and `themes/`. Instead of
copying those in, as well, we can instead move the script out to a
separate build job, retaining the nice Ruby code, in a super quick
execution alongside our other jobs.

Actually closes #210, as this replaces the other `Dockerfile`s to give
us a single `Dockerfile` as a source-of-truth.
",5144456847
psono__psono-server__Versioning__requirementstxt__six__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/psono/psono-server,https://gitlab.com/psono/psono-server/issues/73,y,bcab74ce3981ca533d9ab55b6029c07dc6f5121d,,prefer-last-version,,"@Seb, this guy did not like you!",not-now,200205-181110,closed,FALSE,0,1,5,NULL,reason:benefitoffutureupdates,NULL,7,3,94,"fixtures for python versions
",8845580793
dalton__dalton__Job-Allow-Failure__nightly-mpi-int64,Job-Allow-Failure,NULL,GitLab config: Failures in job 'nightly-mpi-int64' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/dalton/dalton,https://gitlab.com/dalton/dalton/issues/99,n,,,"nightly-build, let-it-run",job-removed,,not-now,200205-181115,closed,FALSE,0,0,3,NULL,decision:reject,NULL,70,11,80,,
angreal__angreal__Job-Allow-Failure__init_gitlab_python,Job-Allow-Failure,NULL,GitLab config: Failures in job 'init_gitlab_python' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/angreal/angreal,https://gitlab.com/angreal/angreal/issues/81,n,,,let-it-run,,the job was in the template_test stage. Sounds fishy,negative,200205-181120,closed,FALSE,0,1,1,NULL,NULL,NULL,4,3,32,,
eyeo__websites__web-adblockplus-org__Manual-Job__tests,Manual-Job,NULL,GitLab config: Job 'tests' is manually triggered,DROPPED FOR NOW,https://gitlab.com/eyeo/websites/web.adblockplus.org,https://gitlab.com/eyeo/websites/web.adblockplus.org/issues/306,,,,,,,,200205-180849,deleted,FALSE,1,0,3,NULL,temporary,NULL,-1,-1,-1,,
radek-sprta__mariner__Vulnerability__--token-69b7f6f2-c281-4b78-862d-396e8e6f8b1b,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/radek-sprta/mariner,https://gitlab.com/radek-sprta/mariner/issues/15,,,,,,,,200205-180849,closed,FALSE,0,0,1,NULL,unknown,NULL,1,1,8,,
gnaar__piste__Vulnerability__--token-d9c2a4a7-e06f-4634-b2ae-fafc20ca92d2,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/gnaar/piste,https://gitlab.com/gnaar/piste/issues/1,,,,,,,,200205-180851,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
john-carroll-p__rschedule__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,NULL,GitLab config: Failures in job 'dependency_scanning' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/john.carroll.p/rschedule,https://gitlab.com/john.carroll.p/rschedule/issues/32,y,,,job-removed,,the whole job was disabled and no smells of the same type are detected,,200205-181122,closed,FALSE,0,1,0,NULL,reaction:negative,NULL,1,1,69,,
experimentslabs__engine_elabs__Job-Allow-Failure__bundle-outdated,Job-Allow-Failure,NULL,GitLab config: Failures in job 'bundle/outdated' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/experimentslabs/engine_elabs,https://gitlab.com/experimentslabs/engine_elabs/issues/81,n,,,"depedency-scanning, agreement",,"it only report outdated packages, the job is related to bundling so can fail",not-now,200205-181131,closed,FALSE,0,1,3,NULL,decision:reject,NULL,4,2,34,,
inkscape__inkscape-web__Versioning__requirementstxt__django-extratest__any-upper-version,Versioning,any-upper-version,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/inkscape/inkscape-web,https://gitlab.com/inkscape/inkscape-web/issues/416,n,,,"tool-upgrade, prefer-last-version",,,negative,200205-181133,closed,FALSE,0,2,6,NULL,reason:benefitoffutureupdates,NULL,22,6,120,,
litecord__litecord__Versioning__requirementstxt__pipenv__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/litecord/litecord,https://gitlab.com/litecord/litecord/issues/55,n,,,"tool-upgrade, no-trust",,,negative,200205-181138,closed,FALSE,0,0,3,NULL,reaction:negative,NULL,16,3,94,,
linagora__petals-cockpit__Job-Retry__test-frontend,Job-Retry,always,GitLab config: Job 'test-frontend' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/linagora/petals-cockpit,https://gitlab.com/linagora/petals-cockpit/issues/556,n,,,flaky-tool,self-admitted,they added a comment in the code for that. They say that those tests are fine but might unpredictably fail because of the imperfection of test frameworks.,not-now,200205-181143,closed,FALSE,0,1,2,NULL,temporary,NULL,10,7,117,,
adventuscalendar__utils__docker-prototool__Vulnerability__-token-6cb5281522c5b60e528e806335e6ad,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/adventuscalendar/utils/docker-prototool,https://gitlab.com/adventuscalendar/utils/docker-prototool/issues/1,,,,,,,,200205-180910,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
juhani__go-semrel-gitlab__Manual-Job__test,Manual-Job,NULL,GitLab config: Job 'test' is manually triggered,DROPPED FOR NOW,https://gitlab.com/juhani/go-semrel-gitlab,https://gitlab.com/juhani/go-semrel-gitlab/issues/84,n,,,,,,,200205-181145,closed,FALSE,0,0,0,NULL,reaction:negative,NULL,3,1,4,,
uninen__heimlich__Vulnerability__-SECRET_KEY--j8k0b21ev36-xw3dtdmy8-shuavf5e-yb0h3eu5a3-!nqq-jna-,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/uninen/heimlich,https://gitlab.com/uninen/heimlich/issues/21,,,,,,,,200205-181108,closed,FALSE,1,0,4,NULL,decision:fix,NULL,1,1,10,,
GitLabRGI__erdc__geopackage-python__Versioning__requirementstxt__lxml__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/GitLabRGI/erdc/geopackage-python,https://gitlab.com/GitLabRGI/erdc/geopackage-python/issues/39,,,,,,,,200205-181109,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
bitseater__meteo__Job-Allow-Failure__package-snap,Job-Allow-Failure,NULL,GitLab config: Failures in job 'package:snap' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/bitseater/meteo,https://gitlab.com/bitseater/meteo/issues/125,y,1ba18b07cbd8d0b19f266311eb03cec2267f2180,,use-in-paper,,,positive,200205-181149,closed,TRUE,1,0,1,NULL,request-mr,"While the maintainer has originally asked for an MR, Carmines mining identified that it has been fixed since.",15,3,22,"Allow failure on snap build
",3503753
r1dScripts__chatty_server__Versioning__requirementstxt__dnspython__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/r1dScripts/chatty_server,https://gitlab.com/r1dScripts/chatty_server/issues/3,,,,,,,,200205-181111,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
dataengi__marketing__www-dataengi-com__Manual-Job__check_links,Manual-Job,NULL,GitLab config: Job 'check_links' is manually triggered,DROPPED FOR NOW,https://gitlab.com/dataengi/marketing/www.dataengi.com,https://gitlab.com/dataengi/marketing/www.dataengi.com/issues/45,,,,,,,,200205-181112,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
phyohtetarkar__github-jobs__Manual-Job__build,Manual-Job,NULL,GitLab config: Job 'build' is manually triggered,DROPPED FOR NOW,https://gitlab.com/phyohtetarkar/github-jobs,https://gitlab.com/phyohtetarkar/github-jobs/issues/1,,,,,,,,200205-181113,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
xomachine__NESM__Job-Allow-Failure__test-devel,Job-Allow-Failure,NULL,GitLab config: Failures in job 'test:devel' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/xomachine/NESM,https://gitlab.com/xomachine/NESM/issues/18,n,,,"flaky-tool, optional-job",,The job is only used to test whether the used compiler works well. Do not buy their motivation.,negative,200205-181150,closed,FALSE,0,1,1,NULL,NULL,NULL,2,2,8,,
librespacefoundation__satnogs__satnogs-docs__Versioning__requirementstxt__pyserial__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/librespacefoundation/satnogs/satnogs-docs,https://gitlab.com/librespacefoundation/satnogs/satnogs-docs/issues/20,,,,,,,,200205-181118,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
emcrp__src__Manual-Job__build-and-push,Manual-Job,NULL,GitLab config: Job 'build-and-push' is manually triggered,DROPPED FOR NOW,https://gitlab.com/emcrp/src,https://gitlab.com/emcrp/src/issues/44,,,,,,,,200205-181119,opened,FALSE,0,0,0,NULL,NULL,NULL,12,0,0,,
simulant__simulant__Job-Allow-Failure__test-dreamcast-sh4-gcc,Job-Allow-Failure,NULL,GitLab config: Failures in job 'test:dreamcast-sh4-gcc' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/simulant/simulant,https://gitlab.com/simulant/simulant/issues/230,n,,,"incomplete-implementation, temporary-smell",self-admitted,"This guy tends to allow failure in case of unstable jobs (https://gitlab.com/simulant/simulant/commit/4bb7f9e8eb185512940820641b7105916880f5cf), and when the job becomes stable he removes it (https://gitlab.com/simulant/simulant/commit/413d5ba3226ebcd57b24707ca38eca8728d5d78a)",negative,200205-181152,closed,FALSE,0,1,3,NULL,temporary,NULL,5,3,330,,
perobertson__dotfiles__Manual-Job__py38,Manual-Job,NULL,GitLab config: Job 'py38' is manually triggered,DROPPED FOR NOW,https://gitlab.com/perobertson/dotfiles,https://gitlab.com/perobertson/dotfiles/issues/1,y,a74cd35e1d4170fbb604ba051b40e11255d4e4cb,,temporary-smell,,It was a temporary workaround as the guy said here (https://gitlab.com/perobertson/dotfiles/commit/f174833d59b3279e41486c9c14dae7a88a16a97b),,200205-181159,closed,TRUE,0,0,0,NULL,NULL,NULL,9,1,51,python3.8 is released,5694944417
charts__gitlab__Job-Allow-Failure__production_specs_eks,Job-Allow-Failure,NULL,GitLab config: Failures in job 'production_specs_eks' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/charts/gitlab,https://gitlab.com/charts/gitlab/issues/1527,,,,,,,,200205-181123,deleted,FALSE,0,0,1,S4,decision:accept,NULL,-1,-1,-1,,
aegir__aegir__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,GitLab config: Failures in job 'pages' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/aegir/aegir,https://gitlab.com/aegir/aegir/issues/43,,,,,,,,200205-181124,closed,FALSE,0,1,4,NULL,reaction:negative,NULL,3,0,0,,
thehumaneffort__rails-5-base__Vulnerability__-SECRET_KEY_BASE-onetwo,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/thehumaneffort/rails-5-base,https://gitlab.com/thehumaneffort/rails-5-base/issues/1,,,,,,,,200205-181125,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
freedesktop-sdk__freedesktop-sdk__Job-Allow-Failure__minimal_systemd_vm_powerpc64le,Job-Allow-Failure,NULL,GitLab config: Failures in job 'minimal_systemd_vm_powerpc64le' cannot fail the build,DROPPED FOR NOW,https://gitlab.com/freedesktop-sdk/freedesktop-sdk,https://gitlab.com/freedesktop-sdk/freedesktop-sdk/issues/843,n,,,"temporary-smell, agreement, optional-job, flaky-env",self-admitted,"They generally agree but this job is not crucial and it is not guarantee to succeed because of external factors. They even added a comment saying that they will fix it in the future (""# FIXME: We should find out why this fails to boot."")",not-now,200205-181200,closed,FALSE,0,1,6,NULL,temporary,NULL,57,28,842,,
anited__publish__Versioning__requirementstxt__Markdown__any-upper-version,Versioning,any-upper-version,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/anited/publish,https://gitlab.com/anited/publish/issues/42,y,e645cd575fad815ed5872dc09f939c9883acbbe3,,no-trust,,,negative,200205-181207,closed,FALSE,0,1,1,NULL,decision:fix,"Was an ignore with negative response before, but Carmines mining has identified a fix of that.",2,1,4,"Resolve ""Simplify requirements declaration""
",235684719
dodgyville__pygltflib__Versioning__requirementstxt__dataclasses__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/dodgyville/pygltflib,https://gitlab.com/dodgyville/pygltflib/issues/16,y,d12ef9de115290dd9f224c17fc889a3aaf0d8b52,,wrong-fix,,"They fixed, but they introduced another smell",,200205-181209,closed,FALSE,0,0,0,NULL,decision:fix,"The dev has not been reacting to the issue, but fixed the problem as identified by Carmines mining.",3,2,17,"add extentions, add extras, add tests, allow custom fields on Attributes
",68296527
iba-aes__webcie__website__Job-Retry__Make-Docker-image,Job-Retry,script_failure,GitLab config: Job 'Make Docker image' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/iba-aes/webcie/website,https://gitlab.com/iba-aes/webcie/website/issues/11048,,,,,,,,200205-181135,deleted,FALSE,0,0,2,Intern,reaction:positive,NULL,-1,-1,-1,,
oly-exams__exam_tools__Versioning__requirementstxt__future__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/oly-exams/exam_tools,https://gitlab.com/oly-exams/exam_tools/issues/477,,,,,,,,200205-181136,opened,FALSE,0,0,0,NULL,NULL,NULL,11,0,0,,
datadrivendiscovery__sklearn-wrap__Versioning__requirementstxt__git-https---gitlab-com-datadrivendiscovery-d3m-git-devel__missing,Versioning,missing,GitLab config: 'requirements.txt' does not specify the exact version of all dependencies,DROPPED FOR NOW,https://gitlab.com/datadrivendiscovery/sklearn-wrap,https://gitlab.com/datadrivendiscovery/sklearn-wrap/issues/224,y,,wrong-detection,,,They were actually using exact versions already. Could this be an issue of our tool?,positive,200205-181216,closed,FALSE,0,1,2,NULL,decision:reject,NULL,11,5,33,,
Manu343726__tinyrefl__Job-Retry__conan-integration-clang60,Job-Retry,always,GitLab config: Job 'conan-integration-clang60' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/Manu343726/tinyrefl,https://gitlab.com/Manu343726/tinyrefl/issues/14,,,,,,,,200205-181141,opened,FALSE,0,0,0,NULL,NULL,NULL,3,0,0,,
gioxa__imagebuilder__Job-Retry__build_rootfs-pass_two,Job-Retry,always,GitLab config: Job 'build_rootfs:pass_two' is retried in case of failures,DROPPED FOR NOW,https://gitlab.com/gioxa/imagebuilder,https://gitlab.com/gioxa/imagebuilder/issues/5,,,,,,,,200205-181141,opened,FALSE,0,0,0,NULL,NULL,NULL,1,0,0,,
tvaughan__docker-flask-starterkit__Vulnerability__-POSTGRES_PASS,Vulnerability,NULL,GitLab config: Hard-coded credentials in '.gitlab-ci.yml',DROPPED FOR NOW,https://gitlab.com/tvaughan/docker-flask-starterkit,https://gitlab.com/tvaughan/docker-flask-starterkit/issues/7,,,,,,,,200205-181142,deleted,FALSE,0,0,0,NULL,NULL,NULL,-1,-1,-1,,
