ID,TYPE,SUBTYPE,RATING
gitlab-org__quality__triage-ops__Manual-Job__dry-run-stage-and-groups-labels-hygiene-gitlab-org,Manual-Job,,TRUE
XRevan86__hptoad__Versioning__requirementstxt__slixmpp__missing,Versioning,missing,TRUE
opolat__dropwizard-example__Versioning__akquinet-hello-world-1-0-SNAPSHOT__io-dropwizard-dropwizard-core__missing,Versioning,missing,TRUE
ciferkey__soup-bot__Versioning__requirementstxt__fs__missing,Versioning,missing,TRUE
BVollmerhaus__blurwal__Versioning__gitlabyaml__twine__missing,Versioning,missing,FALSE
open-sourceress__violet__Versioning__requirementstxt__pint__missing,Versioning,missing,TRUE
vectoridau__awebus__Versioning__gitlabyaml__twine__missing,Versioning,missing,FALSE
CommandCrafterHD__level-bot__Versioning__requirementstxt__git-https---github-com-Rapptz-discord-py-rewrite__missing,Versioning,missing,TRUE
JonathonReinhart__gitlab-artifact-cleanup__Versioning__requirementstxt__python-gitlab__any-upper-version,Versioning,any-upper-version,TRUE
VSI-TUGraz__Dynasaur__Versioning__requirementstxt__Pillow__missing,Versioning,missing,TRUE
offa__docker-images-ci__Job-Retry__stm32-eth_clang-5,Job-Retry,,TRUE
Retr0_System__LBRY__Versioning__requirementstxt__git-https---github-com-lbryio-lbryum-git-v3-2-1-egg-lbryum__missing,Versioning,missing,FALSE
j-marchini__nap__Versioning__requirementstxt__python-dateutil__missing,Versioning,missing,TRUE
xonotic__xonstat__Versioning__requirementstxt__SQLAlchemy__missing,Versioning,missing,TRUE
pycqa__pydocstyle__Versioning__requirementstxt____missing,Versioning,missing,FALSE
code-stats__code-stats-vim__Versioning__gitlabyaml__neovim__missing,Versioning,missing,TRUE
chand3040__suryan_odoo_sose__Versioning__requirementstxt__http---download-gna-org-pychart-PyChart-1-39-tar-gz-egg-PyChart__missing,Versioning,missing,TRUE
sarpdev__asyncbot__Versioning__requirementstxt__discord-py__missing,Versioning,missing,TRUE
ev9__ssh_multi__Versioning__requirementstxt__paramiko__missing,Versioning,missing,TRUE
sirimangalo__meditation-plus__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,,TRUE
thorgate-public__django-project-template__Versioning__requirementstxt__PyYAML__any-upper-version,Versioning,any-upper-version,TRUE
mmmickmason2__ether-router-master__Job-Allow-Failure__codequality,Job-Allow-Failure,,TRUE
deadc0de6__dotdrop__Versioning__requirementstxt____missing,Versioning,missing,TRUE
crwxrws__psycheled__Job-Allow-Failure__rust-nightly,Job-Allow-Failure,,TRUE
Banzyme2__django-cloud9-dokcer__Versioning__requirementstxt__psycopg2__missing,Versioning,missing,TRUE
failmap__admin__Job-Retry__build_test,Job-Retry,,TRUE
oprudkyi__laravel-bootstrap-adminlte-starter-kit__Job-Allow-Failure__test-php71,Job-Allow-Failure,,TRUE
development-incolume__incolumepy-utils__Versioning__requirementstxt__deprecated__missing,Versioning,missing,TRUE
vstconsulting__polemarch__Job-Allow-Failure__release_pypi,Job-Allow-Failure,,TRUE
Vertana__lolresearchbot__Job-Allow-Failure__stop_review,Job-Allow-Failure,,TRUE
oly-exams__exam_tools__Versioning__requirementstxt__django-crispy-forms__missing,Versioning,missing,TRUE
fpdpy__fpd__Job-Allow-Failure__test_docstrings-p3,Job-Allow-Failure,,TRUE
denkmal__denkmal-website__Job-Retry__deploy-production,Job-Retry,,TRUE
bachtungvantung__gitlab-ce__Job-Allow-Failure__rspec-pg-rails5-22-30,Job-Allow-Failure,,TRUE
radek-sprta__mariner__Job-Retry__test-python37,Job-Retry,,TRUE
rosarior__django-inventory__Versioning__requirementstxt____missing,Versioning,missing,FALSE
smartbgp__yabgp__Versioning__requirementstxt__oslo-config__any-upper-version,Versioning,any-upper-version,TRUE
rafael-santana__poc-multi-tenant__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
Semama__Wall-E__Versioning__requirementstxt__requests__missing,Versioning,missing,TRUE
passit__passit-backend__Versioning__requirementstxt__freezegun__missing,Versioning,missing,TRUE
opencraft__opencraft__Versioning__requirementstxt____missing,Versioning,missing,TRUE
systent__dj_chart__Versioning__requirementstxt__django__any-upper-version,Versioning,any-upper-version,TRUE
cyberbudy__django-postie__Versioning__requirementstxt____missing,Versioning,missing,FALSE
webprogrammingUniTN__webproject__Versioning__com-soapandtherest-shoppinglist-shoppinglist-data-__javax-inject-javax-inject__only-major-number,Versioning,only-major-number,TRUE
JonathonReinhart__gitlab-artifact-cleanup__Versioning__requirementstxt__python-dateutil__missing,Versioning,missing,TRUE
MaphsterB__pyramid-rlp__Versioning__requirementstxt____missing,Versioning,missing,TRUE
kai-richard-koenig__easytainer-cli__Versioning__requirementstxt__requests__missing,Versioning,missing,TRUE
FloweeTheHub__thehub__Job-Allow-Failure__createHubDocker,Job-Allow-Failure,,TRUE
timelord__sklearn_transformers__Versioning__requirementstxt__numpy__missing,Versioning,missing,TRUE
tglman__persy__Job-Allow-Failure__upload_report,Job-Allow-Failure,,TRUE
francois-travais__1tipi2bicycles__Job-Retry__build-test,Job-Retry,,TRUE
AnjiProject__anji-core__Versioning__gitlabyaml__twine__missing,Versioning,missing,FALSE
codelibre__schroot__Job-Allow-Failure__debian-unstable,Job-Allow-Failure,,TRUE
rolla__xpncms__Job-Allow-Failure__yarn,Job-Allow-Failure,,TRUE
arma3-server-tools__modmanager__Versioning__requirementstxt__networkx__any-upper-version,Versioning,any-upper-version,TRUE
thoughtvector__grpc-ping-pong__Versioning__requirementstxt__grpcio-tools__missing,Versioning,missing,FALSE
luichan__official-wireshark__Job-Retry__clang-5,Job-Retry,,TRUE
rpdev__opentodolist__Manual-Job__macos,Manual-Job,,TRUE
xhang__gitlab__Manual-Job__build-package,Manual-Job,,TRUE
petervaro__pcd__Versioning__requirementstxt__uncompyle6__any-upper-version,Versioning,any-upper-version,TRUE
gitzone__npmts__Job-Allow-Failure__testLEGACY,Job-Allow-Failure,,TRUE
ponyweb-ensemble__PonyWeb__Versioning__requirementstxt__BeautifulSoup4__missing,Versioning,missing,TRUE
vstconsulting__polemarch-docker__Versioning__requirementstxt__bash__missing,Versioning,missing,TRUE
tessia-project__tessia__Versioning__requirementstxt__jsonschema__any-upper-version,Versioning,any-upper-version,TRUE
jankubierecki__UEKPartnership__Versioning__requirementstxt__django-admin-list-filter-dropdown__missing,Versioning,missing,TRUE
formschema__native__Job-Allow-Failure__npm-outdated,Job-Allow-Failure,,TRUE
jakesys__aws__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,,TRUE
lucj__sophia-events__Job-Allow-Failure__image_scanning_clair,Job-Allow-Failure,,TRUE
serial-lab__quartet_capture__Versioning__requirementstxt__django-model-utils__any-upper-version,Versioning,any-upper-version,TRUE
Synder__Tokage__Versioning__requirementstxt__lxml__any-upper-version,Versioning,any-upper-version,TRUE
vstconsulting__polemarch-ansible__Job-Retry__py36-install-ansible25,Job-Retry,,TRUE
librespacefoundation__satnogs__satnogs-docs__Versioning__requirementstxt__APScheduler__missing,Versioning,missing,TRUE
daxm__Cisco-SDA-Setup-Notes__Versioning__requirementstxt__jinja2__missing,Versioning,missing,TRUE
anatoli__InstaPy__Versioning__requirementstxt__webdriverdownloader__missing,Versioning,missing,TRUE
jwcha__my-interactive-coding-challenges__Versioning__requirementstxt__prompt_toolkit__any-upper-version,Versioning,any-upper-version,TRUE
mosaic-mfg__palette-2-plugin__Versioning__requirementstxt__-__missing,Versioning,missing,FALSE
galacteek__galacteek__Versioning__requirementstxt__json-traverse__any-upper-version,Versioning,any-upper-version,TRUE
linran__wistomgraden__Versioning__requirementstxt__diff-match-patch__only-major-number,Versioning,only-major-number,TRUE
hexoshi__hexoshi__Versioning__requirementstxt__pygame__any-upper-version,Versioning,any-upper-version,TRUE
cyberfighter-org__environment-readme-md__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
enzanki_ars__live-tv__Versioning__requirementstxt____missing,Versioning,missing,TRUE
npolar__sphinx-docs-template__Versioning__requirementstxt__sphinx-rtd-theme__missing,Versioning,missing,TRUE
jeff-triplett__django-pghero__Versioning__requirementstxt__check-manifest__missing,Versioning,missing,FALSE
remcohaszing__eslint-formatter-gitlab__Job-Allow-Failure__dependency-scanning,Job-Allow-Failure,,TRUE
radek-sprta__mariner__Versioning__gitlabyaml__mkdocs__missing,Versioning,missing,FALSE
rubickcz__chat__Job-Allow-Failure__code-quality,Job-Allow-Failure,,TRUE
efunb__read_input__Job-Allow-Failure__cratesio,Job-Allow-Failure,,TRUE
finding-ray__antikythera__Job-Allow-Failure__test_armv7l,Job-Allow-Failure,,TRUE
Flockademic__plaudit__Job-Retry__e2e-chrome,Job-Retry,,TRUE
gotfix__docker-gitlab__Job-Allow-Failure__lint,Job-Allow-Failure,,TRUE
demsking__image-downloader__Job-Allow-Failure__npm-outdated,Job-Allow-Failure,,TRUE
mataara__Mataara-Server__Versioning__requirementstxt____missing,Versioning,missing,FALSE
metaperl__surgetrader__Versioning__requirementstxt__marrow-mailer__missing,Versioning,missing,TRUE
leopardm__dnd__Versioning__gitlabyaml__requests__missing,Versioning,missing,TRUE
the-vision__botorosa__Versioning__requirementstxt__https---storage-googleapis-com-tensorflow-linux-cpu-tensorflow-0-10-0-cp35-cp35m-linux_x86_64-whl__missing,Versioning,missing,FALSE
martynbristow__gabbi__Versioning__requirementstxt__urllib3__any-upper-version,Versioning,any-upper-version,TRUE
aurorafossorg__apps__tuna__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
ID4me__id4me-rp-client-python__Versioning__requirementstxt__typing__any-upper-version,Versioning,any-upper-version,FALSE
laurentbachelier__weboob__Job-Allow-Failure__unittests-modules-3,Job-Allow-Failure,,TRUE
hop23typhu__baseapp__Job-Allow-Failure__codequality,Job-Allow-Failure,,TRUE
ultreiaio__jgit-flow__Manual-Job__latest-site,Manual-Job,,FALSE
e0__nbviewer__Versioning__requirementstxt__pylibmc__missing,Versioning,missing,TRUE
Ritubh__kubernetes__Job-Allow-Failure__codequality,Job-Allow-Failure,,TRUE
alrazi__ini_xmiconverter__Versioning__COBHUNI-ini_xmiconverter-0-0-1-SNAPSHOT__de-tudarmstadt-ukp-dkpro-core-de-tudarmstadt-ukp-dkpro-core-testing-asl__missing,Versioning,missing,FALSE
EAVISE__lightnet__Versioning__requirementstxt__--visual-__missing,Versioning,missing,TRUE
valtron__msn-server__Versioning__requirementstxt__git-https---gitlab-com-valtron-sqlaltery-git-0-1-0__missing,Versioning,missing,FALSE
o9000__google-code-to-gitlab__Versioning__requirementstxt__requests__any-upper-version,Versioning,any-upper-version,TRUE
rigrassm__plexrequests-python__Versioning__requirementstxt__requests__missing,Versioning,missing,TRUE
emilopez__testeame__Versioning__requirementstxt__Pygments__missing,Versioning,missing,TRUE
mkleehammer__servant__Versioning__requirementstxt____missing,Versioning,missing,FALSE
q4d__vote-app__Versioning__requirementstxt__flask__missing,Versioning,missing,TRUE
vnphp__request-logger-bundle__Job-Allow-Failure__phpcs,Job-Allow-Failure,,TRUE
leinardi__gkraken__Versioning__requirementstxt__pygobject__missing,Versioning,missing,TRUE
atomap__atomap__Job-Allow-Failure__style_checks_flake8_docstrings,Job-Allow-Failure,,TRUE
juanfgs__yt-browser__Versioning__requirementstxt__oauth2client__missing,Versioning,missing,TRUE
ric_harvey__getAWSdocs__Versioning__requirementstxt__urlparse3__missing,Versioning,missing,TRUE
decko__epracas-backend__Versioning__requirementstxt____missing,Versioning,missing,FALSE
nimbus__django_template__Versioning__requirementstxt__xinge_push__any-upper-version,Versioning,any-upper-version,TRUE
finding-ray__antikythera__Versioning__requirementstxt__wheel__missing,Versioning,missing,FALSE
codeearth__drawdown__Versioning__requirementstxt__matplotlib__any-upper-version,Versioning,any-upper-version,TRUE
highside__node-amqp__Job-Allow-Failure__fmt-check,Job-Allow-Failure,,TRUE
KatHamer__HackWM__Versioning__requirementstxt__Xlib__any-upper-version,Versioning,any-upper-version,TRUE
lu-ci__sigma__apex-sigma__Versioning__requirementstxt__ftfy__missing,Versioning,missing,TRUE
digested__node-digest__Job-Retry__build-demo-typescript-library,Job-Retry,,TRUE
dalton__dalton__Job-Allow-Failure__nightly-coverage,Job-Allow-Failure,,TRUE
wolphin__wolphin-win__Versioning__gitlabyaml__wheel__missing,Versioning,missing,FALSE
neo-cs__addressbook__Versioning__mx-neocs-addressbook-addressbook-1-10-0-SNAPSHOT__org-hibernate-hibernate-jpamodelgen__missing,Versioning,missing,TRUE
LCaraccio__clever-sheep__Versioning__gitlabyaml__mock__missing,Versioning,missing,TRUE
simulabio__simulabio__Versioning__requirementstxt__beautifulsoup4__missing,Versioning,missing,TRUE
franksonet__bypy__Versioning__requirementstxt__requests__missing,Versioning,missing,TRUE
whendrik__zazu__Versioning__requirementstxt__argparse__missing,Versioning,missing,TRUE
dmantis__bitshares-assistant__Versioning__requirementstxt__sqlalchemy__missing,Versioning,missing,TRUE
ralphembree__Loquitor-Heroku__Versioning__requirementstxt__git-https---github-com-ralphembree-Loquitor__missing,Versioning,missing,TRUE
ALU__nuage_vsd_abstraction_from_yaml__Versioning__requirementstxt__vspk__missing,Versioning,missing,TRUE
wpdesk__wp-dataset__Manual-Job__phpmetric-metrics,Manual-Job,,TRUE
gnss-sdr__gnss-sdr__Job-Allow-Failure__position-leo,Job-Allow-Failure,,TRUE
clorichel__vue-gitlab-api__Job-Allow-Failure__npm-publish,Job-Allow-Failure,,TRUE
samba__webapptitude__Versioning__requirementstxt__stripe__missing,Versioning,missing,TRUE
IPMsim__Virtual-IPM__Versioning__requirementstxt__scipy__missing,Versioning,missing,TRUE
MinoMino__mindl__Versioning__requirementstxt__selenium__missing,Versioning,missing,TRUE
butala__pyrsss__Versioning__requirementstxt__more-itertools__missing,Versioning,missing,TRUE
balasankarc__python-gemdeps__Versioning__requirementstxt__pyyaml__missing,Versioning,missing,TRUE
danialbehzadi__danialassist__Versioning__requirementstxt__pyrogram__missing,Versioning,missing,TRUE
wallzero__jsplumb-react__Job-Retry__pages,Job-Retry,,TRUE
dataengi__marketing__www-dataengi-com__Job-Allow-Failure__check_links,Job-Allow-Failure,,TRUE
LuWaWaSP__T-brain-trendmicro__Versioning__requirementstxt__numpy__missing,Versioning,missing,TRUE
cromse__django-plataform-colegio__Versioning__requirementstxt____missing,Versioning,missing,FALSE
fluidattacks__asserts__Job-Retry__deploy,Job-Retry,,TRUE
metapensiero__metapensiero-sqlalchemy-asyncpg__Versioning__requirementstxt____missing,Versioning,missing,FALSE
stp-team__systemtestportal-webapp__Job-Allow-Failure__lint-source,Job-Allow-Failure,,TRUE
github-cloud-corp__django-rest-framework__Versioning__requirementstxt____missing,Versioning,missing,FALSE
moorepants__skijumpdesign__Versioning__requirementstxt____missing,Versioning,missing,FALSE
mauriciofrivera__text_scorekeeper__Versioning__requirementstxt____missing,Versioning,missing,FALSE
edelweiss-linux__backend__Versioning__requirementstxt__django__only-major-number,Versioning,only-major-number,TRUE
tp-ppw__tp1_ppw_2018_2019_1__Versioning__requirementstxt__requests__missing,Versioning,missing,TRUE
Cayan_HacktheHub__TamaTrainer__Versioning__requirementstxt__matplotlib__missing,Versioning,missing,TRUE
clinton-lawrence2__hockey-alert__Versioning__requirementstxt__pytz__missing,Versioning,missing,TRUE
alakantti__alakantti__Versioning__requirementstxt____missing,Versioning,missing,FALSE
dennismaxjung__vscode-dotnet-auto-attach__Job-Allow-Failure__dependency_scanning,Job-Allow-Failure,,TRUE
juergens__stabbot__Versioning__requirementstxt____missing,Versioning,missing,TRUE
java-tutorials__messenger__Versioning__org-nyna-messenger-1-0-SNAPSHOT__org-glassfish-jersey-jersey-bom__missing,Versioning,missing,TRUE
rubickcz__chat__Versioning__gitlabyaml__docker__missing,Versioning,missing,TRUE
sj1k__grizzbot__Versioning__requirementstxt__git-https---github-com-Rapptz-discord-py-rewrite__missing,Versioning,missing,TRUE
kousu__fbgate__Versioning__requirementstxt__thrift__missing,Versioning,missing,TRUE
dansiviter__cito__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
fablabnapoli__EngraveCube__Versioning__requirementstxt__flask__missing,Versioning,missing,TRUE
bandaa__carrecognizer__Versioning__requirementstxt__gunicorn-19-9-0__missing,Versioning,missing,TRUE
rhab__PyOTRS__Versioning__requirementstxt__colorama__any-upper-version,Versioning,any-upper-version,TRUE
vijaiaeroastro__ScrapeForFun__Versioning__gitlabyaml__requests__missing,Versioning,missing,TRUE
carmenbianca__pyparadox__Versioning__requirementstxt____missing,Versioning,missing,FALSE
larsyunker__unithandler__Versioning__requirementstxt__numpy__missing,Versioning,missing,TRUE
fudaa__fudaa-crue__Versioning__org-fudaa-soft-fudaa-crue-ui-aoc-__org-fudaa-framework-ebli-ebli-1d__missing,Versioning,missing,TRUE
ChristophS__aws_adfs__Versioning__requirementstxt__beautifulsoup4__missing,Versioning,missing,TRUE
veloren__game__Job-Allow-Failure__clippy,Job-Allow-Failure,,TRUE
ser__beton__Versioning__requirementstxt____missing,Versioning,missing,FALSE
raeq__pciq__Versioning__requirementstxt__pytz__any-upper-version,Versioning,any-upper-version,TRUE
daniellawrence__go-links__Versioning__requirementstxt__flask_sqlalchemy__missing,Versioning,missing,TRUE
huyderman__lamassu__Job-Allow-Failure__rubocop,Job-Allow-Failure,,TRUE
materials-modeling__hiphive__Job-Allow-Failure__run_flake8,Job-Allow-Failure,,TRUE
buzzcode__Bamboo-Veracode__Versioning__com-veracode-bamboo-uploadscan-1-0-0__javax-inject-javax-inject__only-major-number,Versioning,only-major-number,TRUE
femprocomuns__ldapclient__Versioning__requirementstxt____missing,Versioning,missing,TRUE
binarioetico__flask-ci-demo__Versioning__requirementstxt__Flask-DotEnv__missing,Versioning,missing,TRUE
zachbresser__chbresser-public__Versioning__requirementstxt____missing,Versioning,missing,FALSE
nowayout__yara_sweeper__Versioning__requirementstxt__yara__missing,Versioning,missing,TRUE
rudy_dv__projet-django__Versioning__requirementstxt____missing,Versioning,missing,TRUE
obob__pymatreader__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
openrail__uk__referencedata-nodejs__Job-Allow-Failure__code_coverage,Job-Allow-Failure,,TRUE
runarberg__trompt__Job-Allow-Failure__test-beta,Job-Allow-Failure,,TRUE
DMore__chrome-mink-driver__Job-Retry__PHP-7-0,Job-Retry,,TRUE
tsgkdt__sphinx-plantuml__Versioning__requirementstxt__sphinxbootstrap4theme__any-upper-version,Versioning,any-upper-version,TRUE
burke-software__django-report-builder__Versioning__requirementstxt__model_mommy__missing,Versioning,missing,TRUE
lambdait__mai-schedule-vk__Versioning__requirementstxt__aiopg__missing,Versioning,missing,TRUE
dhoomakethu__pymodbus__Versioning__requirementstxt__mock__any-upper-version,Versioning,any-upper-version,TRUE
anonymous-prodject__ZeroNet__Versioning__requirementstxt__gevent__any-upper-version,Versioning,any-upper-version,TRUE
anjanatiha__Distributed-Machine-Learning-for-Big-Data__Versioning__requirementstxt__https---cdn-mysql-com-Downloads-Connector-Python-mysql-connector-python-2-0-4-tar-gz__missing,Versioning,missing,FALSE
Bottersnike__crypko-py__Versioning__requirementstxt__web3__missing,Versioning,missing,TRUE
leroywarnt__sdlc__Versioning__gitlabyaml__requests__missing,Versioning,missing,TRUE
tezos__tezos__Job-Allow-Failure__integration-sandboxes-voting,Job-Allow-Failure,,TRUE
SunyataZero__remembering__Versioning__requirementstxt__PyQt5__any-upper-version,Versioning,any-upper-version,TRUE
Ma_124__build-py__Versioning__requirementstxt__termcolor__missing,Versioning,missing,TRUE
mgoral__subconvert__Versioning__requirementstxt__-__missing,Versioning,missing,FALSE
gbraad__fedora-wsl__Manual-Job__pages,Manual-Job,,TRUE
cuiyuan2012__P2PFileSharing__Versioning__cui-yuan-P2PFileSharing-1-0-SNAPSHOT__commons-cli-commons-cli__missing,Versioning,missing,TRUE
ewdurbin__chalice-github-auth__Versioning__requirementstxt__github3-py__missing,Versioning,missing,TRUE
bilalbox__panos_tester__Versioning__requirementstxt__tinydb__missing,Versioning,missing,TRUE
gnutls__gnutls__Job-Retry__abi-coverage,Job-Retry,,TRUE
dosuken123__thin-gdk__Job-Retry__postgresql-build,Job-Retry,,TRUE
maximedenes__coq__Job-Allow-Failure__ci-geocoq,Job-Allow-Failure,,TRUE
eyeo__adblockplus__abpui__adblockplusui__Manual-Job__uploadcrowdin,Manual-Job,,TRUE
guyzmo__git-repo__Versioning__requirementstxt__lxml__missing,Versioning,missing,TRUE
apifie__nodems__node-microservice__Job-Allow-Failure__license_management,Job-Allow-Failure,,TRUE
sue445__gitlab_awesome_release__Job-Allow-Failure__rubocop,Job-Allow-Failure,,TRUE
alexandre-tranchant__australian-client__Job-Allow-Failure__code_quality,Job-Allow-Failure,,TRUE
gioxa__odagrun__odagrun__Job-Retry__build_docs,Job-Retry,,TRUE
kimlab__rnapulse__Versioning__requirementstxt__tqdm__any-upper-version,Versioning,any-upper-version,TRUE
bryceschober__conan-cpputest__Versioning__gitlabyaml__conan_package_tools__missing,Versioning,missing,TRUE
kaliko__python-musicpd__Versioning__gitlabyaml__sphinx_rtd_theme__missing,Versioning,missing,TRUE
yuanliu9__QANet-pytorch__Versioning__requirementstxt____missing,Versioning,missing,TRUE
gitmate__open-source__IGitt__Versioning__requirementstxt__cryptography__only-major-number,Versioning,only-major-number,TRUE
Niloc37__traceanalyzer__Job-Allow-Failure__all-builds-clang,Job-Allow-Failure,,TRUE
tomecki__winietki__Versioning__requirementstxt__Jinja2__any-upper-version,Versioning,any-upper-version,TRUE
dhoomakethu__pymodbus__Versioning__requirementstxt____missing,Versioning,missing,FALSE
passit__passit-backend__Versioning__requirementstxt__ipdb__missing,Versioning,missing,TRUE
recalbox__recalbox__Manual-Job__build-rpi2-for-test,Manual-Job,,TRUE
melvinvermeeren__template_cpp__Job-Allow-Failure__regex_check,Job-Allow-Failure,,TRUE
Orange-OpenSource__lfn__onap__onap-tests__Versioning__gitlabyaml__virtualenv__missing,Versioning,missing,FALSE
meltano__meltano__Versioning__gitlabyaml__black__missing,Versioning,missing,FALSE
xomachine__SteamForwarder__Job-Allow-Failure__test-devel,Job-Allow-Failure,,TRUE
zetok__epaste__Job-Allow-Failure__rust_nightly,Job-Allow-Failure,,TRUE
ajth__interactive-coding-challenges__Versioning__requirementstxt__prompt_toolkit__any-upper-version,Versioning,any-upper-version,TRUE
gserv-me__Smithy__Versioning__requirementstxt__peewee-async__missing,Versioning,missing,TRUE
LazzyTeam__roguelike-pygame__Versioning__requirementstxt__numpy__missing,Versioning,missing,TRUE
davcri91__pyADB__Versioning__requirementstxt____missing,Versioning,missing,FALSE
reinimaurer1__coolvib__Versioning__requirementstxt____missing,Versioning,missing,FALSE
proot__proot__Job-Allow-Failure__check,Job-Allow-Failure,,TRUE
sherpa-team__sherpa__Manual-Job__build,Manual-Job,,TRUE
sumner__offlinemsmtp__Versioning__gitlabyaml__twine__missing,Versioning,missing,FALSE
AyraHikari__EmiliaHikari__Versioning__requirementstxt__python-telegram-bot__any-upper-version,Versioning,any-upper-version,TRUE
starshell__question__Job-Allow-Failure__rustfmt-stable-cargo,Job-Allow-Failure,,TRUE
FlumeAutomation__GRBL_Server__Versioning__requirementstxt__pyserial__missing,Versioning,missing,TRUE
seen__java__seen-retrofit-examples__Versioning__ir-co-dpq-seen-seen-retrofit-example-cms-download-__ir-co-dpq-seen-seen-retrofit-user__missing,Versioning,missing,TRUE
galacteek__galacteek__Versioning__requirementstxt__jsonschema__only-major-number,Versioning,only-major-number,TRUE
cmc_system__cmc__Job-Allow-Failure__deploy,Job-Allow-Failure,,TRUE
flectra-hq__build-tools__Versioning__requirementstxt__pyserial__missing,Versioning,missing,TRUE
r05323028__ptt_crawler__Versioning__requirementstxt____missing,Versioning,missing,TRUE
fmakdemir__cs533-assignment-4__Versioning__requirementstxt__nltk__missing,Versioning,missing,TRUE
PushFish__PushFish-Connectors__Versioning__requirementstxt__txzmq__missing,Versioning,missing,TRUE
